Wavelength	Loss
nm	dB/m
	Bi227(K)(SM)
1587,3	2,22304
1588	2,23417
1588,7	2,22929
1589,4	2,24426
1590,1	2,24127
1590,8	2,2599
1591,5	2,24851
1592,2	2,27471
1592,9	2,26825
1593,6	2,26163
1594,3	2,26382
1595	2,28858
1595,7	2,29224
1596,4	2,29436
1597,1	2,2867
1597,8	2,28959
1598,5	2,31525
1599,2	2,32442
1599,9	2,30027
1600,6	2,29024
1601,3	2,30359
1602	2,29581
1602,7	2,31443
1603,4	2,2997
1604,1	2,30169
1604,8	2,33736
1605,5	2,32674
1606,2	2,34467
1606,9	2,32235
1607,6	2,3416
1608,3	2,33912
1609	2,34465
1609,7	2,30011
1610,4	2,34201
1611,1	2,35922
1611,8	2,35871
1612,5	2,34098
1613,2	2,3611
1613,9	2,35329
1614,6	2,36077
1615,3	2,37255
1616	2,37315
1616,7	2,36503
1617,4	2,37433
1618,1	2,367
1618,8	2,39157
1619,5	2,3504
1620,2	2,37763
1620,9	2,37641
1621,6	2,34454
1622,3	2,37546
1623	2,37991
1623,7	2,37193
1624,4	2,38606
1625,1	2,40205
1625,8	2,40978
1626,5	2,35365
1627,2	2,38286
1627,9	2,33969
1628,6	2,37579
1629,3	2,37535
1630	2,36572
1630,7	2,37879
1631,4	2,39922
1632,1	2,36786
1632,8	2,37911
1633,5	2,35556
1634,2	2,36534
1634,9	2,37554
1635,6	2,38208
1636,3	2,37414
1637	2,36999
1637,7	2,37232
1638,4	2,36864
1639,1	2,3678
1639,8	2,4171
1640,5	2,3688
1641,2	2,35369
1641,9	2,4
1642,6	2,38106
1643,3	2,3571
1644	2,35243
1644,7	2,36696
1645,4	2,38963
1646,1	2,34938
1646,8	2,36446
1647,5	2,35817
1648,2	2,31694
1648,9	2,37324
1649,6	2,36348
1650,3	2,34485
1651	2,33679
1651,7	2,33774
1652,4	2,33636
1653,1	2,32301
1653,8	2,31956
1654,5	2,31164
1655,2	2,31004
1655,9	2,29965
1656,6	2,30393
1657,3	2,32458
1658	2,34864
1658,7	2,3148
1659,4	2,30934
1660,1	2,31964
1660,8	2,29493
1661,5	2,2631
1662,2	2,26641
1662,9	2,28012
1663,6	2,29098
1664,3	2,28298
1665	2,28463
1665,7	2,28953
1666,4	2,29205
1667,1	2,26822
1667,8	2,25378
1668,5	2,2626
1669,2	2,23757
1669,9	2,21582
1670,6	2,2444
1671,3	2,26522
1672	2,23127
1672,7	2,22126
1673,4	2,23122
1674,1	2,198
1674,8	2,2265
1675,5	2,20109
1676,2	2,21758
1676,9	2,20045
1677,6	2,18301
1678,3	2,21072
1679	2,16
1679,7	2,13756
1680,4	2,17444
1681,1	2,14745
1681,8	2,11192
1682,5	2,18569
1683,2	2,12643
1683,9	2,14697
1684,6	2,18654
1685,3	2,09076
1686	2,15173
1686,7	2,16597
1687,4	2,10033
1688,1	2,07365
1688,8	2,13296
1689,5	2,08122
1690,2	2,11001
1690,9	2,03607
1691,6	2,05135
1692,3	2,02549
1693	2,12291
1693,7	2,03398
1694,4	2,04653
1695,1	2,08438
1695,8	2,10448
1696,5	2,07994
1697,2	2,05328
1697,9	2,09203
1698,6	2,10625
1699,3	2,10493
1700	2,10697

